date,name,type,distance_km,moving_time,elapsed_time,avg_hr,max_hr,elevation_gain_m,elevation_loss_m,min_elevation_m,max_elevation_m,avg_pace_min_km,calories,training_load,aerobic_training_effect,anaerobic_training_effect,vo2max_estimate
2025-08-24,Copenhagen - 10 km @ 1:30 HM Pace (4:16),outdoor,10.1,0:43:01,0:43:03,177.0,193.0,20.0,15.0,8.8,18.4,4:15,809.0,295.98675537109375,4.900000095367432,2.4000000953674316,55.0
2025-08-23,Copenhagen Running,outdoor,17.34,1:41:16,1:43:10,138.0,190.0,132.0,132.0,8.2,36.0,5:50,1428.0,112.66734313964844,3.4000000953674316,0.10000000149011612,55.0
2025-08-20,Copenhagen - 3x2k < 4:10,outdoor,8.49,0:37:59,0:38:26,161.0,180.0,29.0,25.0,10.0,23.8,4:28,646.0,172.2070770263672,3.700000047683716,2.200000047683716,55.0
2025-08-18,Copenhagen Running,outdoor,8.35,0:54:51,0:56:10,126.0,143.0,15.0,12.0,9.8,19.6,6:34,676.0,45.600250244140625,2.4000000953674316,0.0,
2025-08-16,Vordingborg Running,outdoor,29.3,3:40:49,4:08:50,146.0,188.0,926.0,921.0,1.6,147.2,7:32,2872.0,222.41676330566406,4.400000095367432,1.2000000476837158,55.0
2025-08-14,Copenhagen Running,outdoor,9.07,0:56:38,0:57:37,141.0,157.0,27.0,24.0,9.8,23.2,6:14,760.0,58.98931884765625,2.700000047683716,0.0,55.0
2025-08-12,Copenhagen - 4x1200 @ <4:05,outdoor,7.6,0:36:53,0:37:04,162.0,190.0,11.0,7.0,11.4,15.4,4:51,618.0,171.32679748535156,3.700000047683716,2.0999999046325684,55.0
2025-08-10,Copenhagen Running,outdoor,8.01,0:51:45,0:51:53,132.0,143.0,14.0,13.0,10.2,17.0,6:27,646.0,45.30986022949219,2.4000000953674316,0.0,55.0
2025-08-09,Copenhagen Running,outdoor,10.26,0:46:44,0:46:46,168.0,190.0,31.0,28.0,10.8,23.4,4:33,825.0,212.17808532714844,4.5,0.0,55.0
2025-08-07,Copenhagen - 8/10 k easy <5:15,outdoor,8.39,0:45:55,0:46:42,154.0,170.0,27.0,22.0,11.0,26.0,5:28,717.0,103.31637573242188,3.299999952316284,0.0,55.0
2025-08-05,Copenhagen - 6x800 < 4:00,outdoor,6.95,0:34:26,0:35:09,162.0,192.0,23.0,20.0,6.6,19.6,4:57,587.0,269.217529296875,3.9000000953674316,3.5999999046325684,55.0
2025-08-02,Vordingborg Running,outdoor,10.87,0:56:11,0:56:14,150.0,181.0,72.0,77.0,11.4,34.0,5:10,868.0,130.94090270996094,3.700000047683716,0.0,55.0
2025-07-31,Vordingborg Running,outdoor,10.01,0:45:02,0:45:06,171.0,189.0,72.0,70.0,9.2,34.6,4:29,812.0,230.25173950195312,4.599999904632568,1.2999999523162842,55.0
2025-07-27,Copenhagen Running,outdoor,8.15,0:55:06,0:57:06,133.0,144.0,25.0,20.0,9.4,21.6,6:45,693.0,46.18791198730469,2.4000000953674316,0.0,
2025-07-24,Rødovre Running,outdoor,0.91,0:06:25,0:08:37,152.0,174.0,1.0,,10.8,12.4,7:03,130.0,22.549942016601562,1.7999999523162842,0.0,
2025-07-24,Rødovre Running,outdoor,6.98,0:33:12,0:35:22,167.0,194.0,,,12.0,12.4,4:45,604.0,208.99627685546875,3.9000000953674316,2.700000047683716,55.0
2025-07-22,Copenhagen Running,outdoor,5.57,0:32:59,0:33:01,130.0,142.0,15.0,14.0,10.8,19.6,5:55,432.0,35.61457824707031,2.200000047683716,0.0,
2025-07-20,Frederiksberg Running,outdoor,11.51,1:04:39,1:04:42,165.0,180.0,35.0,36.0,18.4,36.4,5:36,1034.0,146.21224975585938,3.9000000953674316,0.0,55.0
2025-07-18,Copenhagen Running,outdoor,6.11,0:27:59,0:28:12,154.0,175.0,34.0,35.0,9.8,33.6,4:35,471.0,105.94889831542969,3.4000000953674316,0.20000000298023224,56.0
2025-07-16,Copenhagen Running,outdoor,5.01,0:21:15,0:21:36,151.0,186.0,9.0,10.0,11.4,16.4,4:14,351.0,95.23527526855469,3.200000047683716,0.699999988079071,55.0
2025-07-12,Copenhagen Running,outdoor,13.07,1:18:15,1:20:47,151.0,168.0,39.0,43.0,2.0,12.6,5:59,1132.0,105.89384460449219,3.299999952316284,0.0,54.0
2025-07-10,Copenhagen Running,outdoor,6.01,0:28:03,0:28:24,166.0,183.0,19.0,16.0,7.4,21.4,4:39,481.0,129.6602783203125,3.5999999046325684,0.0,54.0
2025-07-08,Copenhagen Running,outdoor,7.24,0:39:36,0:42:13,142.0,169.0,18.0,20.0,10.4,21.8,5:28,575.0,81.97434997558594,3.0999999046325684,0.0,53.0
2025-07-03,Running,outdoor,7.23,0:38:05,0:38:56,169.0,181.0,77.0,84.0,1307.2,1365.2,5:16,634.0,141.05184936523438,3.799999952316284,0.0,51.0
2025-07-01,Running,outdoor,5.08,0:27:09,0:27:48,154.0,175.0,69.0,73.0,1351.4,1399.6,5:21,420.0,82.57809448242188,3.0999999046325684,0.0,52.0
2025-06-28,Naro-Fominskiy rayon Running,outdoor,11.3,1:05:22,1:08:08,161.0,182.0,143.0,138.0,160.0,206.6,5:47,1040.0,163.8595733642578,4.099999904632568,0.20000000298023224,52.0
2025-06-25,Running,outdoor,8.4,0:52:14,1:01:09,148.0,172.0,65.0,58.0,163.6,221.6,6:13,805.0,97.81489562988281,3.4000000953674316,0.4000000059604645,
2025-06-21,Furesø Running,outdoor,11.62,1:15:11,1:15:14,164.0,181.0,227.0,234.0,25.6,55.4,6:28,1115.0,147.2261505126953,4.099999904632568,0.0,52.0
2025-06-18,Copenhagen Running,outdoor,8.45,0:41:02,0:42:14,157.0,192.0,26.0,28.0,8.8,18.6,4:51,653.0,186.5681610107422,4.0,2.5,52.0
2025-06-15,Tårnby Running,outdoor,21.31,1:51:25,1:51:53,175.0,200.0,116.0,129.0,-20.8,52.0,5:13,1895.0,452.5748291015625,5.0,1.899999976158142,51.0
2025-06-11,Copenhagen Running,outdoor,10.02,0:53:12,0:53:41,158.0,173.0,16.0,18.0,7.6,23.2,5:18,848.0,158.00729370117188,4.199999809265137,0.0,51.0
2025-01-01,Treadmill Running,treadmill,2.66,0:12:28,0:12:29,,,,,,,4:40,257.0,0.0,0.0,0.0,
2024-12-17,Treadmill Running,treadmill,4.33,0:31:25,0:35:37,,,,,,,7:15,390.0,0.1891021728515625,0.0,0.0,
2024-12-09,Hill Intervals,treadmill,1.19,0:11:30,0:15:31,,,,,,,9:38,106.0,0.0,0.0,0.0,
2024-12-07,Treadmill Running,treadmill,3.59,0:24:50,0:25:06,,,,,,,6:54,335.0,1.3695526123046875,0.10000000149011612,0.0,
2024-12-02,Treadmill Running,treadmill,4.07,0:30:10,0:30:11,,,,,,,7:25,347.0,0.0,0.0,0.0,
2024-11-26,Treadmill Running,treadmill,6.57,0:31:42,0:31:43,,,,,,,4:49,614.0,0.0,0.0,0.0,
2024-11-24,Treadmill Running,treadmill,7.03,0:36:52,0:36:53,,,,,,,5:14,663.0,0.0,0.0,0.0,
2024-11-08,Copenhagen Running,outdoor,7.57,0:43:19,1:10:56,,,45.7,19.0,2.6,17.8,5:43,691.0,14.588043212890625,1.399999976158142,0.0,
2024-11-06,Treadmill Running,treadmill,1.85,0:11:18,0:13:42,,,,,,,6:05,172.0,0.0,0.0,0.0,
2024-10-18,Vordingborg Running,outdoor,136.9,17:56:45,20:45:06,,,1178.1,1169.0,-5.2,128.4,7:51,11503.0,322.61700439453125,5.0,0.0,
2024-10-13,Copenhagen Running,outdoor,21.15,2:08:00,2:11:40,122.0,138.0,113.5,115.6,-1.6,29.2,6:03,1952.0,84.74322509765625,3.299999952316284,0.0,
2024-10-08,Copenhagen Running,outdoor,8.22,0:43:07,0:43:09,,,20.4,17.1,3.2,16.4,5:14,761.0,19.837158203125,1.899999976158142,0.0,
2024-09-14,Copenhagen Running,outdoor,5.23,0:32:54,0:39:19,,,23.2,16.6,1.4,16.2,6:17,469.0,16.715789794921875,1.600000023841858,0.0,
2024-09-07,Copenhagen Running,outdoor,4.26,0:27:57,0:50:17,,,126.9,104.0,2.4,166.6,6:33,357.0,9.47491455078125,0.8999999761581421,0.0,
2024-08-30,Furesø Trail Running,outdoor,4.43,0:28:13,0:28:51,,,39.0,41.7,22.4,46.4,6:22,390.0,18.361038208007812,1.7999999523162842,0.0,
2024-08-04,Naxos Running,outdoor,22.22,2:12:09,2:18:29,158.0,182.0,85.1,96.2,-1.0,30.2,5:56,2067.0,229.74188232421875,4.599999904632568,0.4000000059604645,52.0
2024-08-02,Treadmill Running,treadmill,6.0,0:36:28,0:38:22,,,,,,,6:04,552.0,0.0,0.0,0.0,
2024-07-31,Athens Running,outdoor,9.41,0:56:28,1:00:17,,,47.9,50.4,85.2,117.0,5:59,859.0,28.103179931640625,2.0,0.0,
2024-07-25,Vordingborg Running,outdoor,5.19,0:32:07,0:32:11,,,36.7,44.9,12.2,35.0,6:11,469.0,20.80059814453125,1.600000023841858,0.0,
2024-07-25,Running,outdoor,,,0:00:03,,,,,28.0,28.2,,0.0,0.18389892578125,0.0,0.0,
2024-07-23,Vordingborg - Track/Road Reps,outdoor,6.51,0:41:13,0:42:37,148.0,184.0,49.7,47.5,24.0,35.0,6:19,607.0,227.81089782714844,3.0999999046325684,3.5999999046325684,52.0
2024-07-20,Copenhagen Running,outdoor,16.94,1:43:47,1:45:00,145.0,170.0,34.6,40.3,0.4,13.2,6:07,1434.0,124.021240234375,3.5,0.0,52.0
